DATETRANSACTION;NumClient;SensTransaction;NumeroValeur;QuantiteNegociee;CoursTransaction;Montant;NAT;GESTION;COMMERC;SOLDE;Depose;TUNSFAX
05/09/2018 14:35;7745;A;474;6;100,500;603,00;TN;LIBRE;13;12,000;N;T
06/09/2018 10:20;91234;A;474;12;106,000;1272,00;TN;LIBRE;9;60,000;O;S
07/09/2018 12:50;56890;A;474;20;103,000;2060,00;TN;LIBRE;52;100,000;N;T
08/09/2018 08:15;23456;A;474;9;107,500;967,50;TN;LIBRE;34;70,000;O;S
09/09/2018 13:45;67890;A;474;8;102,000;816,00;TN;LIBRE;23;85,000;N;T
10/09/2018 11:30;12876;A;474;7;108,000;756,00;TN;LIBRE;56;110,000;O;S
11/09/2018 09:00;34567;A;474;12;103,500;1242,00;TN;LIBRE;13;65,000;N;T
12/09/2018 14:25;98765;A;474;11;109,000;1199,00;TN;LIBRE;9;55,000;O;S
13/09/2018 10:45;24680;A;474;10;104,000;1040,00;TN;LIBRE;52;95,000;N;T
14/09/2018 15:30;86420;V;474;14;110,500;1547,00;TN;LIBRE;34;90,000;O;S
15/09/2018 12:10;54321;A;474;9;102,750;924,75;TN;LIBRE;23;75,000;N;T
16/09/2018 11:00;12345;A;474;6;105,500;633,00;TN;LIBRE;56;80,000;O;S
17/09/2018 10:00;67891;A;474;13;101,500;1319,50;TN;LIBRE;13;65,000;N;T
18/09/2018 13:20;98765;A;474;8;106,000;848,00;TN;LIBRE;9;85,000;O;S
19/09/2018 08:50;54321;A;474;15;100,250;1503,75;TN;LIBRE;52;90,000;N;T
20/09/2018 11:35;12876;V;474;5;107,000;535,00;TN;LIBRE;34;100,000;O;S
21/09/2018 10:05;23456;A;474;7;102,750;719,25;TN;LIBRE;23;50,000;N;T
21/09/2018 13:25;12345;A;474;10;109,500;1095,00;TN;LIBRE;56;60,000;O;S
22/09/2018 11:10;56890;A;474;12;103,250;1239,00;TN;LIBRE;52;75,000;N;T
22/09/2018 14:55;67890;A;474;8;106,500;852,00;TN;LIBRE;34;55,000;O;S
23/09/2018 12:40;98765;V;474;11;101,250;1113,75;TN;LIBRE;9;95,000;N;T
24/09/2018 10:30;7745;A;474;14;107,250;1501,50;TN;LIBRE;13;45,000;O;S
24/09/2018 15:00;9138;A;474;6;100,750;604,50;TN;LIBRE;56;30,000;N;T
25/09/2018 11:45;88222;A;474;10;108,000;1080,00;TN;LIBRE;23;80,000;O;S
25/09/2018 13:20;12876;A;474;13;101,000;1313,00;TN;LIBRE;52;95,000;N;T
26/09/2018 09:50;21345;A;474;7;106,250;743,75;TN;LIBRE;34;70,000;O;S
26/09/2018 12:35;33421;A;474;15;100,500;1507,50;TN;LIBRE;9;50,000;N;T
27/09/2018 11:00;55586;A;474;5;107,500;537,50;TN;LIBRE;13;85,000;O;S
27/09/2018 13:45;23456;A;474;9;102,000;918,00;TN;LIBRE;52;55,000;N;T
28/09/2018 10:20;12876;V;474;12;108,500;1302,00;TN;LIBRE;34;65,000;O;S
28/09/2018 12:50;98765;A;474;8;103,750;830,00;TN;LIBRE;9;75,000;N;T
29/09/2024 09:30;54321;A;474;15;105,250;1578,75;TN;LIBRE;23;95,000;O;S
29/09/2024 14:15;7745;A;474;6;100,000;600,00;TN;LIBRE;13;50,000;N;T
30/09/2024 11:45;9138;V;474;10;107,000;1070,00;TN;LIBRE;56;90,000;O;S
30/09/2024 13:30;67890;A;474;14;101,500;1421,00;TN;LIBRE;52;70,000;N;T
24/07/2024 09:34;25131;A;474;4;107,046;428,184;TN;LIBRE;9;434,4;O;S
24/07/2024 09:34;25117;A;474;3;107,046;321,138;TN;LIBRE;9;0;O;S
24/07/2024 09:34;52941;A;474;2;107,046;214,092;TN;LIBRE;9;0;O;S
24/07/2024 09:34;62046;A;474;3;107,046;321,138;TN;LIBRE;9;0;O;S
24/07/2024 09:34;51118;V;474;4;107,046;428,184;TN;LIBRE;9;0;O;S
24/07/2024 11:38;48921;A;474;6000;107,046;642276;TN;GEST;62;0;O;T
29/07/2024 08:15;40042;V;474;7;107,143;750,001;TN;LIBRE;9;0;O;S
29/07/2024 08:50;58145;A;474;4781;107,143;512250,683;TN;LIBRE;47;0;O;T
31/07/2024 08:44;45832;V;474;17;107,184;1822,128;TN;LIBRE;44;0;O;T
31/07/2024 14:09;29848;A;474;35;107,184;3751,44;TN;LIBRE;52;-6,1;O;T
01/08/2024 10:54;3118;A;474;1;107,204;107,204;TN;LIBRE;44;-984,083;O;S
09/07/2024 09:50;58145;V;1570;400;107,143;512250,683;TN;LIBRE;47;0;O;S
09/07/2024 09:44;45832;A;1570;17;107,184;1822,128;TN;LIBRE;44;0;O;T
09/07/2024 00:00;29840;A;1570;8;107,184;857,472;TN;LIBRE;52;-6,1;O;T
09/08/2024 00:00;29848;V;1570;35;107,184;3751,44;TN;LIBRE;52;-6,1;O;S
09/09/2024 00:00;3118;A;1570;1;107,204;107,204;TN;LIBRE;47;-984,083;O;S
09/09/2024 00:00;3118;A;1570;400;107,204;512250,683;TN;LIBRE;41;-984,083;O;S
